Owner,Schedule,Location,Day of Week,Start,End,Hours,Requests,Requesters
,BUS-BEST-Cons,Busch Campus,Saturday,10:45AM,2:45PM,4,0,
,BUS-ARC-Disp,Busch Campus,Wednesday,4:45PM,7:45PM,3,4,"kt427 (4), rgd51 (1), sr1193 (1), cli14 (1)"
,BUS-ARC-Cons,Busch Campus,Wednesday,5:30PM,8:00PM,2.5,4,"kt427 (4), rgd51 (1), jrb340 (4), msm322 (1)"
,BUS-LSM-Cons,Busch Campus,Wednesday,9:45PM,1:30AM,3.75,4,"ajl271 (1), sr1193 (5), jsq8 (3), dpc121 (4)"
,BUS-ARC-Disp,Busch Campus,Wednesday,4:45PM,7:45PM,3,0,
,BUS-ARC-Cons,Busch Campus,Wednesday,5:30PM,8:00PM,2.5,0,
,BUS-LSM-Cons,Busch Campus,Wednesday,9:45PM,1:30AM,3.75,0,
aab283,BUS-ARC-Cons,Busch Campus,Saturday,5:30AM,10:00PM,4.5,7,"sa1110 (3), rgd51 (1), ap1614 (3), jbm200 (2), jsq8 (3), aab283 (5), bhp38 (1)"
aab283,BUS-ARC-Cons,Busch Campus,Sunday,3:30PM,6:30PM,3,15,"sa1110 (3), cjk171 (2), yf184 (2), ttl39 (4), rp928 (1), vsl22 (1), ktm96 (2), jbm200 (1), jsq8 (5), bpl52 (1), gct20 (3), kwl47 (3), aab283 (1), smt196 (2), bhp38 (2)"
aab283,BUS-ARC-Disp,Busch Campus,Tuesday,4:45PM,7:45PM,3,1,aab283 (1)
aab283,BUS-BEST-Cons,Busch Campus,Thursday,6:15PM,9:45PM,3.5,8,"ap1614 (1), jfm203 (1), jbm200 (5), vs543 (1), aab283 (1), hp408 (1), bjg144 (2), uls2 (4)"
aak219,BUS-RBHS-Cons,Busch Campus,Wednesday,8:15AM,10:45AM,2.5,3,"aak219 (1), ca571 (2), aab283 (1)"
aak219,BUS-BEST-Cons,Busch Campus,Thursday,8:00AM,11:30AM,3.5,9,"ac1109 (1), rp928 (1), jrb340 (5), bkw27 (2), aar195 (3), jbm200 (4), jje77 (1), hp408 (4), spp131 (1)"
aar195,BUS-ARC-Cons,Busch Campus,Monday,10:00AM,12:30PM,2.5,3,"smk333 (3), ktm96 (2), aar195 (2)"
aar195,BUS-ARC-Disp,Busch Campus,Wednesday,10:00AM,1:30PM,3.5,2,"aar195 (2), an646 (3)"
aar195,BUS-ARC-Cons,Busch Campus,Thursday,10:00AM,12:30PM,2.5,3,"gp251 (1), smk333 (1), aar195 (3)"
aar195,BUS-ARC-Cons,Busch Campus,Tuesday,10:00AM,12:30PM,2.5,0,
ac1109,BUS-LSM-Cons,Busch Campus,Sunday,12:00PM,3:30PM,3.5,11,"yf184 (1), ac1109 (1), sr1193 (1), ktm96 (1), hsr30 (1), srg154 (5), jbm200 (4), kwl47 (1), aab283 (1), ms2651 (1), smt196 (2)"
ac1109,BUS-BEST-Cons,Busch Campus,Monday,11:45AM,3:15PM,3.5,11,"ac1109 (1), axt3 (1), rp928 (2), sr1193 (1), ktm96 (4), hsr30 (1), jbm200 (2), jp1682 (1), vs543 (2), pkc42 (1), uls2 (1)"
ac1109,BUS-LSM-Cons,Busch Campus,Wednesday,9:00PM,12:00AM,3,8,"ac1109 (1), ajl271 (3), sy519 (1), njh45 (4), jbm200 (4), jsq8 (4), dpc121 (3), spp131 (5)"
ac1109,BUS-BEST-Cons,Busch Campus,Thursday,8:00AM,11:45AM,3.75,10,"aak219 (1), rp928 (2), jrb340 (5), bkw27 (2), aar195 (3), cli14 (4), ak1506 (1), jbm200 (4), jje77 (1), hp408 (4)"
ac1109,BUS-LSM-Cons,Busch Campus,Friday,8:00AM,11:30AM,3.5,7,"ac1109 (3), rp928 (1), brl51 (1), jfm203 (1), jbm200 (5), kwl47 (5), vs543 (1)"
ac1109,BUS-LSM-Cons,Busch Campus,Wednesday,8:00AM,11:30AM,3.5,0,
