"Owner","Schedule","Location","Day of Week","Start","End","Hours","Requests","Requesters"
"cli14","BUS-ARC-Sups","Busch Campus","Monday","1:30PM","4:00PM","2.50","0",""
"cli14","BUS-ARC-Sups","Busch Campus","Wednesday","5:00PM","8:00PM","3.00","0",""
"cli14","BUS-ARC-Sups","Busch Campus","Friday","10:00AM","2:30PM","4.50","0",""
"cli14","BUS-ARC-Sups","Busch Campus","Wednesday","10:00AM","2:30PM","4.50","0",""
"dc991","BUS-ARC-Sups","Busch Campus","Saturday","10:45AM","3:20PM","4.58","0",""
"dc991","BUS-BEST-Sups","Busch Campus","Tuesday","8:00AM","9:00AM","1.00","0",""
"dc991","BUS-ARC-Sups","Busch Campus","Tuesday","9:00AM","12:00PM","3.00","0",""
"dc991","BUS-ARC-Sups","Busch Campus","Wednesday","8:00AM","9:45AM","1.75","0",""
"dc991","BUS-ARC-Sups","Busch Campus","Friday","3:00PM","6:00PM","3.00","0",""
"dc991","BUS-ARC-Sups","Busch Campus","Wednesday","3:00PM","6:00PM","3.00","0",""
"emo66","BUS-ARC-Sups","Busch Campus","Sunday","3:45PM","10:00PM","6.25","0",""
"emo66","BUS-ARC-Sups","Busch Campus","Monday","12:00PM","2:00PM","2.00","0",""
"emo66","BUS-ARC-Sups","Busch Campus","Tuesday","12:00PM","3:00PM","3.00","0",""
"emo66","BUS-ARC-Sups","Busch Campus","Thursday","3:00PM","6:00PM","3.00","0",""
"emo66","BUS-ARC-Sups","Busch Campus","Tuesday","3:00PM","6:00PM","3.00","0",""
"epl43","BUS-ARC-Sups","Busch Campus","Monday","2:00PM","5:30PM","3.50","0",""
"epl43","BUS-ARC-Sups","Busch Campus","Tuesday","12:00PM","3:00PM","3.00","0",""
"epl43","BUS-BEST-Sups","Busch Campus","Wednesday","8:00AM","9:00AM","1.00","0",""
"epl43","BUS-ARC-Sups","Busch Campus","Wednesday","9:00AM","3:00PM","6.00","0",""
"epl43","BUS-ARC-Sups","Busch Campus","Thursday","12:00PM","3:00PM","3.00","0",""
"epl43","BUS-ARC-Sups","Busch Campus","Tuesday","12:00PM","3:00PM","3.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Monday","5:00PM","12:00AM","7.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Tuesday","7:00PM","10:00PM","3.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Wednesday","4:45PM","8:00PM","3.25","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Thursday","8:00AM","2:00PM","6.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Thursday","7:00PM","10:00PM","3.00","0",""
"hs770","BUS-BEST-Sups","Busch Campus","Friday","8:00AM","9:00AM","1.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Friday","9:00AM","1:30PM","4.50","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Saturday","6:00PM","9:00PM","3.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Tuesday","8:00AM","2:00PM","6.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Tuesday","7:00PM","10:00PM","3.00","0",""
"hs770","BUS-BEST-Sups","Busch Campus","Wednesday","8:00AM","9:00AM","1.00","0",""
"hs770","BUS-ARC-Sups","Busch Campus","Wednesday","9:00AM","1:30PM","4.50","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Monday","8:00AM","12:00PM","4.00","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Monday","4:00PM","8:00PM","4.00","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Tuesday","3:00PM","10:00PM","7.00","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Wednesday","3:00PM","8:30PM","5.50","0",""
"nrs100","BUS-BEST-Sups","Busch Campus","Thursday","8:00AM","9:00AM","1.00","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Thursday","9:00AM","1:00PM","4.00","0",""
"nrs100","BUS-BEST-Sups","Busch Campus","Tuesday","8:00AM","9:00AM","1.00","0",""
"nrs100","BUS-ARC-Sups","Busch Campus","Tuesday","9:00AM","1:00PM","4.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Sunday","10:45AM","3:45PM","5.00","0",""
"qh63","BUS-BEST-Sups","Busch Campus","Monday","8:00AM","9:00AM","1.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Monday","9:00AM","4:00PM","7.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Tuesday","3:00PM","6:00PM","3.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Wednesday","1:10PM","5:30PM","4.33","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Thursday","2:00PM","6:00PM","4.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Friday","1:30PM","4:45PM","3.25","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Tuesday","2:00PM","6:00PM","4.00","0",""
"qh63","BUS-ARC-Sups","Busch Campus","Wednesday","1:30PM","4:45PM","3.25","0",""
"rpp101","BUS-BEST-Sups","Busch Campus","Sunday","10:45AM","11:45AM","1.00","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Sunday","11:45AM","6:45PM","7.00","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Monday","5:30PM","9:00PM","3.50","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Tuesday","4:00PM","6:45PM","2.75","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Wednesday","5:30PM","10:00PM","4.50","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Thursday","1:00PM","6:45PM","5.75","0",""
"rpp101","BUS-ARC-Sups","Busch Campus","Tuesday","1:00PM","6:45PM","5.75","0",""
"veh17","BUS-BEST-Sups","Busch Campus","Saturday","10:45AM","11:45AM","1.00","0",""
"veh17","BUS-ARC-Sups","Busch Campus","Saturday","11:45AM","3:45PM","4.00","0",""
"veh17","BUS-ARC-Sups","Busch Campus","Tuesday","8:00AM","3:00PM","7.00","0",""
"veh17","BUS-ARC-Sups","Busch Campus","Wednesday","10:00AM","1:00PM","3.00","0",""
